# epoch	train_loss	dev_loss	dev_f1
1	9.486564	5.919288	0.0000
2	4.426078	7.157047	0.0000
3	1.793905	5.961630	0.0000
4	1.263676	6.068017	0.0000
5	1.024799	6.579612	0.0000
6	0.778596	7.033994	0.0000
7	0.677788	7.582716	0.0000
8	0.826428	7.713010	0.0000
9	1.007290	8.378469	0.0000
10	1.068935	7.798347	0.0000
11	1.447523	11.308877	0.0000
12	2.771901	8.065740	0.0000
13	1.548111	6.546541	0.0000
14	1.080154	6.461268	0.0000
15	0.749574	6.634251	0.0000
16	0.831597	6.708670	0.0000
17	0.787087	7.060024	0.0000
18	0.804750	7.126231	0.0000
19	0.645736	7.210432	0.0000
20	0.643633	7.396361	0.0000
21	0.794786	7.448618	0.0000
22	0.573783	7.503843	0.0000
23	0.638335	7.596329	0.0000
24	0.619532	7.545097	0.0000
25	0.642794	7.462186	0.0000
26	0.519924	7.581800	0.0000
27	0.394586	7.696983	0.0000
28	0.417292	7.739609	0.0000
29	0.488100	7.780623	0.0000
30	0.446504	7.898082	0.0000
